UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11539642,65.0,1.0,36.0,3.0,8.0,M,1.0,3.0,39.0,2.0,16.0,7.0,39.0,10.0,4.0,16.0,Injured
11539714,65.0,1.0,35.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11539693,65.0,1.0,20.0,13.0,8.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11545301,65.0,1.0,16.0,10.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11545304,65.0,1.0,28.0,13.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11545300,65.0,1.0,28.0,10.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11545305,65.0,1.0,29.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,6.0,3.0,16.0,Injured
11545306,65.0,1.0,21.0,10.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11540962,65.0,1.0,17.0,12.0,8.0,F,2.0,2.0,38.0,3.0,12.0,7.0,38.0,9.0,2.0,9.0,Injured
11540767,65.0,1.0,31.0,2.0,7.0,M,3.0,2.0,38.0,4.0,17.0,7.0,38.0,3.0,1.0,15.0,Injured
11540812,65.0,1.0,44.0,10.0,9.0,F,3.0,3.0,39.0,4.0,17.0,7.0,39.0,10.0,4.0,16.0,Injured
11539393,65.0,1.0,54.0,13.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11541834,65.0,1.0,47.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11537584,65.0,2.0,39.0,7.0,8.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537519,65.0,2.0,32.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11541798,65.0,2.0,69.0,5.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11540224,65.0,2.0,39.0,2.0,8.0,M,2.0,2.0,38.0,3.0,17.0,7.0,38.0,9.0,2.0,15.0,Injured
11539951,65.0,2.0,17.0,6.0,7.0,M,1.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539914,65.0,2.0,20.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537439,52.0,3.0,55.0,13.0,8.0,M,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11540033,52.0,3.0,25.0,12.0,8.0,M,1.0,3.0,39.0,2.0,11.0,7.0,39.0,10.0,4.0,16.0,Injured
11539957,52.0,3.0,33.0,10.0,8.0,M,2.0,2.0,38.0,3.0,16.0,7.0,38.0,9.0,2.0,8.0,Injured
11542144,52.0,3.0,28.0,7.0,5.0,F,3.0,3.0,39.0,4.0,10.0,7.0,39.0,10.0,4.0,16.0,Injured
11542145,52.0,3.0,25.0,13.0,9.0,M,3.0,3.0,39.0,4.0,10.0,7.0,39.0,2.0,3.0,16.0,Injured
11542147,52.0,3.0,21.0,7.0,9.0,M,3.0,3.0,39.0,4.0,10.0,7.0,39.0,10.0,4.0,16.0,Injured
11539364,52.0,3.0,27.0,12.0,8.0,M,2.0,3.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,6.0,Injured
11537644,52.0,3.0,17.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539697,52.0,3.0,26.0,5.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11542780,52.0,3.0,32.0,8.0,9.0,F,3.0,3.0,39.0,4.0,17.0,7.0,39.0,8.0,4.0,16.0,Injured
11567550,52.0,3.0,34.0,6.0,8.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539451,52.0,4.0,39.0,12.0,8.0,M,1.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539448,52.0,4.0,70.0,5.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11540846,52.0,4.0,76.0,10.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539966,52.0,4.0,56.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11540843,52.0,4.0,40.0,10.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11540885,52.0,4.0,3.0,4.0,4.0,F,3.0,3.0,39.0,4.0,12.0,7.0,39.0,7.0,3.0,16.0,Injured
11539970,52.0,4.0,24.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
