,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PERSON_INJURY
190,1,4,27.0,2,5,0,2,0,0,4,0,0,0,0,0
191,1,4,60.0,4,1,1,1,1,1,1,8,0,1,1,0
192,1,4,28.0,6,1,0,1,1,1,1,0,0,1,1,0
193,1,4,36.0,0,0,0,0,0,0,0,9,0,0,0,0
194,1,4,4.0,6,1,0,1,1,1,1,5,4,3,1,0
195,1,4,39.0,1,1,0,1,1,1,1,0,0,3,1,0
196,1,4,31.0,5,0,0,0,0,0,0,0,0,0,0,0
197,1,5,27.0,5,0,1,0,0,0,0,0,0,0,0,0
198,1,5,19.0,3,5,0,2,0,0,0,0,0,0,0,0
199,1,5,40.0,5,1,0,1,3,1,1,4,1,1,1,1
200,1,5,40.0,7,0,1,0,0,0,0,0,0,0,2,0
201,1,5,8.0,5,6,1,0,0,0,0,3,0,0,7,0
202,1,5,33.0,7,0,0,0,0,0,0,0,0,0,3,0
203,1,5,9.0,9,6,0,0,0,0,0,3,0,0,5,0
204,1,5,3.0,5,6,0,0,0,0,0,3,0,0,7,0
205,1,5,13.0,7,0,1,0,0,0,0,0,0,0,5,0
206,1,5,40.0,7,0,1,0,0,0,0,0,0,0,0,0
207,1,0,28.0,6,0,1,0,0,0,0,0,0,0,2,0
208,1,0,41.0,5,5,1,0,0,0,0,0,0,0,5,0
209,1,0,29.0,5,0,0,0,0,0,0,0,0,0,0,0
210,1,0,54.0,11,0,0,0,0,0,0,0,0,0,0,0
211,1,0,39.0,0,0,0,0,0,0,0,0,0,0,2,0
212,1,0,27.0,3,0,1,0,0,0,0,3,0,0,2,0
213,1,0,23.0,2,0,0,0,0,0,0,1,0,0,2,0
214,1,0,20.0,2,0,0,0,0,0,0,1,0,0,0,0
215,1,0,27.0,2,0,0,0,0,0,0,3,0,0,0,0
216,1,0,30.0,0,4,1,0,0,0,0,0,0,0,3,0
217,1,0,25.0,1,4,0,0,0,0,0,0,0,0,0,0
218,1,0,64.0,5,4,0,0,0,0,0,0,0,0,0,0
219,1,0,24.0,3,4,1,0,0,0,0,0,0,0,2,0
220,1,0,31.0,7,4,1,0,0,0,0,0,0,0,3,0
221,1,0,37.0,0,4,0,0,0,0,0,0,0,0,5,0
222,1,0,40.0,7,4,1,0,0,0,0,0,0,0,0,0
223,1,0,2.0,7,4,0,0,0,0,0,0,0,0,3,0
224,1,0,6.0,9,4,0,0,0,0,0,7,0,0,3,0
225,1,0,39.0,2,4,0,0,0,0,0,7,0,0,0,0
226,1,0,1.0,9,4,1,0,0,0,0,0,0,0,5,0
227,1,0,34.0,7,4,0,0,0,0,0,0,0,0,2,0
228,1,0,24.0,5,4,1,0,0,0,0,0,0,0,7,0
229,1,0,25.0,6,0,0,0,0,0,0,0,0,0,0,0
230,1,0,20.0,6,0,0,0,0,0,0,0,0,0,3,0
231,1,0,21.0,6,0,1,0,0,0,0,0,0,0,2,0
232,1,0,30.0,7,6,1,0,0,0,0,2,0,0,2,0
233,1,0,21.0,6,0,1,0,0,0,0,0,0,0,2,0
234,1,0,35.0,5,0,0,0,0,0,0,0,0,0,0,0
235,1,1,35.0,2,0,1,0,0,0,0,0,0,0,2,0
236,1,1,30.0,4,0,1,0,0,0,0,0,0,0,0,0
237,1,1,21.0,4,1,0,1,1,1,1,0,0,1,1,0
238,1,1,29.0,4,4,1,0,0,0,0,0,0,0,3,0
239,1,1,21.0,4,6,1,0,0,0,0,2,0,0,0,0
