UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_TYPE,PED_LOCATION,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PED_ROLE,PERSON_SEX,PERSON_INJURY
11540224,0.13313267204108972,4.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11539951,-1.1936558139708073,6.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539914,-1.0127301113328213,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11537439,1.098069752777015,7.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11540033,-0.7111872736028447,3.0,-10.0,1.0,1.0,10.0,30.0,3.0,5.0,0,Injured
11539957,-0.22871873323488218,10.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11542144,-0.5302615709648587,5.0,10.0,2.0,1.0,3.0,30.0,3.0,5.0,1,Injured
11542145,-0.7111872736028447,7.0,9.0,2.0,1.0,3.0,30.0,3.0,3.0,0,Injured
11542147,-0.952421543786826,5.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,0,Injured
11539364,-0.590570138510854,3.0,-10.0,3.0,3.0,0.0,20.0,3.0,4.0,0,Injured
11537644,-1.1936558139708073,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539697,-0.6508787060568494,3.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11542780,-0.28902730078087746,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11567550,-0.16841016568888684,6.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539451,0.13313267204108972,3.0,-10.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539448,2.0026982659669446,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11540846,2.3645496712429166,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539966,1.15837832032301,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540843,0.19344123958708506,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540885,-2.0379757596147416,1.0,6.0,2.0,1.0,3.0,0.0,3.0,3.0,1,Injured
11539970,-0.7714958411488401,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539969,-0.8318044086948353,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11539965,-0.28902730078087746,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539963,-0.5302615709648587,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539414,-0.3493358683268728,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539340,-0.8921129762408306,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539419,-0.6508787060568494,3.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539416,1.0377611852310196,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540146,-1.9776671920687463,1.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540143,0.374366942225071,3.0,-10.0,3.0,3.0,0.0,20.0,3.0,4.0,1,Injured
11539503,-2.1585928947067323,10.0,6.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539309,0.07282410449509442,10.0,-10.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11540103,0.9774526176850242,3.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,1,Injured
11539438,-1.3745815166087931,3.0,7.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11540142,-1.917358624522751,3.0,-10.0,3.0,3.0,0.0,20.0,3.0,4.0,0,Injured
11540757,-0.3493358683268728,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11568515,1.3996125905069914,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11568512,1.15837832032301,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539859,-0.22871873323488218,3.0,8.0,2.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11610692,-0.4699530034188634,8.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,1,Injured
11540020,-0.7714958411488401,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540887,-1.133347246424812,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539916,1.6408468606909727,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11540196,1.098069752777015,8.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11540917,1.339304022960996,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11546016,-0.8921129762408306,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11546013,-0.7111872736028447,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11544735,-1.0127301113328213,8.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11546015,-0.8318044086948353,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539487,-1.1936558139708073,7.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11539329,1.8820811308749539,8.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11541905,1.8217725633289585,9.0,8.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541997,-0.4699530034188634,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11541903,1.8820811308749539,3.0,8.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539807,1.098069752777015,3.0,7.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11581398,-0.8318044086948353,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11581404,-0.7111872736028447,3.0,0.0,2.0,1.0,10.0,50.0,7.0,5.0,0,Injured
11545289,1.15837832032301,10.0,0.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11540127,-0.8921129762408306,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539875,-0.8921129762408306,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539387,1.8217725633289585,10.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11539869,0.2537498071330804,5.0,10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11541132,-0.22871873323488218,10.0,0.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11539824,1.098069752777015,6.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539873,-0.8318044086948353,6.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11744565,1.5805382931449774,5.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11540010,0.6759097799550476,5.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539889,1.5805382931449774,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539269,-0.3493358683268728,8.0,10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539892,0.6156012124090523,3.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539756,1.339304022960996,7.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,0,Injured
11540007,-0.28902730078087746,6.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540358,-0.7714958411488401,3.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539265,0.7362183475010429,8.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539757,0.8568354825930335,3.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,1,Injured
11539893,1.9423896984209492,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540006,1.15837832032301,6.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11550391,-0.8921129762408306,9.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11550386,-0.590570138510854,9.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,1,Injured
11550393,-0.7714958411488401,9.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11540302,1.8820811308749539,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539515,-1.8570500569767556,10.0,6.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539425,-0.7111872736028447,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11541726,-0.10810159814289154,5.0,7.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539359,-0.04779303059689621,3.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540158,0.8568354825930335,4.0,7.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11541295,0.9171440501390289,3.0,-10.0,3.0,4.0,0.0,30.0,3.0,4.0,0,Injured
11541226,-0.590570138510854,5.0,0.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11540120,1.3996125905069914,3.0,-10.0,3.0,5.0,0.0,30.0,3.0,4.0,1,Injured
11540851,-0.5302615709648587,9.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11540866,-0.04779303059689621,8.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,0,Injured
11539349,-1.9776671920687463,9.0,-10.0,3.0,5.0,0.0,30.0,8.0,4.0,0,Injured
11539348,0.13313267204108972,5.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11540001,-0.3493358683268728,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11541003,-0.590570138510854,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539383,-1.0730386788788167,3.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11574892,0.19344123958708506,10.0,-10.0,3.0,4.0,0.0,50.0,10.0,4.0,0,Killed
11541496,0.19344123958708506,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539726,-1.7364329218847652,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541494,-0.22871873323488218,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11539727,-1.6761243543387698,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11539728,-2.0379757596147416,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541495,-1.4348900841547885,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541493,0.19344123958708506,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539273,-0.5302615709648587,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539909,0.2537498071330804,10.0,0.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540178,-0.4699530034188634,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540183,1.0377611852310196,1.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540180,0.13313267204108972,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540363,-0.590570138510854,3.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541790,-0.8318044086948353,5.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541789,-1.0127301113328213,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540360,-0.590570138510854,5.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
