UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11545305,01/01/2021,DINNER TIME,29.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11545306,01/01/2021,DINNER TIME,21.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11540962,01/01/2021,DINNER TIME,17.0,3.0,-10.0,F,3,5,10.0,0,0.0,3.0,10.0,-10.0,4,0.0,Injured
11540767,01/01/2021,DINNER TIME,31.0,4.0,0.0,M,2,5,10.0,7,20.0,3.0,10.0,1.0,1,4.0,Injured
11540812,01/01/2021,DINNER TIME,44.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539393,01/01/2021,DINNER TIME,54.0,7.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11541834,01/01/2021,DINNER TIME,47.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11537584,01/01/2021,NIGHT,39.0,5.0,-10.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537519,01/01/2021,NIGHT,32.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541798,01/01/2021,NIGHT,69.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540224,01/01/2021,NIGHT,39.0,4.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11539951,01/01/2021,NIGHT,17.0,6.0,0.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539914,01/01/2021,NIGHT,20.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537439,02/01/2021,DAWN,55.0,7.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540033,02/01/2021,DAWN,25.0,3.0,-10.0,M,1,3,0.0,10,30.0,3.0,0.0,10.0,5,-1.0,Injured
11539957,02/01/2021,DAWN,33.0,10.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,-1.0,Injured
11542144,02/01/2021,DAWN,28.0,5.0,10.0,F,2,3,0.0,7,30.0,3.0,0.0,10.0,5,-1.0,Injured
11542145,02/01/2021,DAWN,25.0,7.0,9.0,M,2,3,0.0,7,30.0,3.0,0.0,8.0,3,-1.0,Injured
11542147,02/01/2021,DAWN,21.0,5.0,9.0,M,2,3,0.0,7,30.0,3.0,0.0,10.0,5,-1.0,Injured
11539364,02/01/2021,DAWN,27.0,3.0,-10.0,M,3,3,10.0,0,20.0,3.0,10.0,-10.0,4,2.0,Injured
11537644,02/01/2021,DAWN,17.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539697,02/01/2021,DAWN,26.0,3.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11542780,02/01/2021,DAWN,32.0,5.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,5,-1.0,Injured
11567550,02/01/2021,DAWN,34.0,6.0,-10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539451,02/01/2021,MORNING,39.0,3.0,-10.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539448,02/01/2021,MORNING,70.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540846,02/01/2021,MORNING,76.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539966,02/01/2021,MORNING,56.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11540843,02/01/2021,MORNING,40.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540885,02/01/2021,MORNING,3.0,1.0,6.0,F,2,3,0.0,7,0.0,3.0,0.0,6.0,3,-1.0,Injured
11539970,02/01/2021,MORNING,24.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539969,02/01/2021,MORNING,23.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11539965,02/01/2021,MORNING,32.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539963,02/01/2021,MORNING,28.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539414,02/01/2021,MORNING,31.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539340,02/01/2021,MORNING,22.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539419,02/01/2021,MORNING,26.0,3.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539416,02/01/2021,MORNING,54.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11540146,02/01/2021,MORNING,4.0,1.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,7.0,3,-1.0,Injured
11540143,02/01/2021,MORNING,43.0,3.0,-10.0,F,3,3,10.0,0,20.0,3.0,10.0,-10.0,4,3.0,Injured
11539503,02/01/2021,MORNING,1.0,10.0,6.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539309,02/01/2021,MORNING,38.0,10.0,-10.0,M,1,3,0.0,8,20.0,3.0,0.0,10.0,5,-1.0,Injured
